Country Name,Country Code,Series Name,Series Code,1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Australia,AUS,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68.855,66.687,66.484,65.721,68.142,69.555,69.481,67.519,67.606,67.967,68.454,69.064,68.223,69.008,69.073,69.566,69.486,69.689,69.471,67.729,67.19,67.468,66.778,66.258,66.237,66.706,66.358,66.353,67.542,67.963,66.527,69.021,72.559,71.018,71.176
Austria,AUT,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.14,60.49,61.65,58.2,59.216,58.871,56.375,55.448,55.503,54.171,51.491,50.147,51.011,49.742,53.167,54.391,54.372,56.289,56.426,56.49,54.229,55.058,55.563,55.446,55.625,54.307,54.788,53.872,54.038,52.69,53.196,52.105,53.702,56.104,56.195
Azerbaijan,AZE,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.452,48.691,51.844,54.98,57.52,58.973,58.943,58.452,57.539,56.865,55.807,51.96,51.204,48.892,44.221,46.081,43.93,37.26,33.81,37.78,41.67,36.921,32.412,33.743,34.615,36.261,39.222,41.175,43.068,42.863,45.583,40.097,39.688,39.832,39.758
"Bahamas, The",BHS,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52.72,52.176,51.631,51.086,50.54,50.051,49.607,48.822,48.611,48.831,48.725,48.484,48.343,47.716,47.484,47.671,47.78,47.836,47.364,46.533,46.483,46.232,46.251,45.333,45.009,44.46,43.6,43.07,42.516,41.56,37.839,38.942,39.001,39.017,38.67
Bahrain,BHR,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.95,23.67,23.888,24.107,24.328,24.55,24.773,24.998,25.224,25.451,25.68,25.91,25.926,25.941,25.957,25.972,25.988,26.003,26.019,26.034,26.05,23.41,24.468,25.557,26.678,27.83,27.676,27.529,27.487,27.481,26.959,26.938,26.717,26.626,26.607
Bangladesh,BGD,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.6,18.088,18.66,19.292,19.969,20.684,21.41,22.063,22.599,23.039,23.393,23.528,23.449,23.295,23.106,22.901,22.64,25.418,28.313,31.298,34.347,35.357,36.219,36.94,32.462,27.937,23.488,26.638,31.511,35.938,40.572,46.321,50.361,49.676,50.267
Barbados,BRB,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62.18,60.399,58.59,57.409,56.22,61.4,60.65,58.08,57.409,56.736,56.06,55.382,54.702,54.02,51.67,51.353,51.036,50.719,50.402,50.084,49.767,49.45,42.47,41.82,46.1,37.981,42.956,39.471,40.392,41.947,41.15,41.575,41.629,41.661,41.646
Belarus,BLR,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.487,39.6,40.522,41.241,42.316,43.23,42.966,41.999,41.254,40.92,41.199,41.479,41.76,42.041,42.322,42.605,42.887,43.17,43.453,43.737,44.022,44.306,44.591,44.877,45.163,45.449,45.735,47.733,44.393,44.557,43.286,42.198,40.552,40.472,40.43
Belgium,BEL,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.072,35.38,35.714,32.694,32.981,31.681,29.888,29.322,29.414,30.116,32.645,29.956,30.24,28.814,32.155,32.328,31.935,31.56,30.776,29.929,29.766,29.783,27.906,28.245,28.078,27.117,26.153,25.449,27.746,29.45,26.527,28.24,29.66,30.246,30.511
Belize,BLZ,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.202,31.693,32.294,32.665,32.664,32.954,33.277,33.636,34.22,33.596,33.542,33.448,33.341,33.24,33.145,33.062,32.983,32.896,32.805,32.721,32.621,32.509,32.414,32.328,34.312,33.439,32.561,34.816,39.441,44.223,40.163,38.548,38.224,38.204,38.353
Benin,BEN,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,54.525,54.539,54.532,54.764,55.029,55.324,55.655,56.025,56.436,56.888,57.381,57.915,58.487,57.272,56.061,54.852,53.647,52.448,51.252,50.055,48.863,47.677,48.152,48.629,49.11,49.595,50.083,50.575,51.069,51.568,51.704,52.288,52.296,51.761,51.824
Bermuda,BMU,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.12,42.203,42.385,42.67,43.02,43.458,43.977,44.57,45.266,45.872,46.446,47.219,48.148,49.195,50.361,51.398,52.111,52.675,53.13,53.374,40.161,40.599,36.506,31.364,28.547,30.791,28.772,26.799,24.876,27.673,28.734,28.861,28.518,31.271,31.18
Bolivia,BOL,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.213,45.285,45.283,45.382,45.525,45.66,45.781,45.903,45.429,44.954,44.48,44.005,43.525,43.039,42.555,42.075,41.598,41.125,40.656,40.189,39.725,39.262,38.801,38.34,37.879,37.419,36.959,38.218,44.228,47.456,49.764,57.942,57.246,57.232,57.999
Bosnia and Herzegovina,BIH,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.92,28.933,28.918,28.921,28.888,28.698,28.482,28.23,28.096,27.968,27.775,27.636,27.503,27.323,26.992,26.737,26.281,25.77,25.267,25.366,25.179,24.981,24.907,24.631,24.458,24.069,23.762,23.461,23.125,22.855,22.975,22.403,22.062,18.447,18.349
Botswana,BWA,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.486,42.993,42.424,41.751,40.966,40.098,39.187,38.262,37.37,36.854,36.34,36.507,36.673,36.841,37.008,37.176,37.344,36.766,36.191,35.621,34.69,34.339,33.99,33.642,33.296,32.952,32.61,32.27,31.932,31.595,32.333,35.942,35.91,38.721,38.48
Brazil,BRA,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.895,46.82,47.331,47.842,48.353,48.865,47.691,48.223,48.663,49.791,50.069,50.347,52.439,52.114,53.528,55.219,53.946,54.025,53.356,53.17,51.343,49.512,48.559,47.529,47.015,47.054,48.091,49.396,49.437,50.749,44.513,48.626,50.084,48.289,48.312
British Virgin Islands,VGB,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.648,37.66,38.364,39.073,39.787,40.505,41.228,41.954,42.683,43.416,44.152,44.89,44.282,43.675,43.071,42.468,41.868,41.27,40.674,40.082,39.492,38.905,38.322,37.741,37.165,36.592,36.022,35.457,35.272,31.503,31.278,31.795,30.831,30.764,30.421
Bulgaria,BGR,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.11,49.339,50.36,46.992,43.651,40.366,37.166,34.074,31.113,28.298,25.643,32.565,28.597,25.694,25.629,24.533,26.361,25.959,26.08,24.815,26.591,24.813,25.311,24.698,22.65,21.169,19.558,21.836,19.305,20.051,18.235,15.506,18.067,18.192,18.076
Burkina Faso,BFA,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75.873,76.124,75.069,73.967,72.833,71.656,70.439,69.202,67.933,66.638,65.329,63.994,62.644,61.274,59.896,58.5,57.098,55.578,54.058,52.536,51.013,49.489,47.966,46.449,44.939,42.492,40.007,37.498,34.967,32.408,29.824,27.685,25.539,25.441,25.234
Burundi,BDI,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84.41,83.239,81.998,80.687,79.304,77.85,76.324,74.727,73.06,72.54,72.014,71.481,70.943,70.398,69.848,69.292,68.73,67.43,66.102,64.749,63.372,61.972,60.552,59.115,57.661,58.206,58.773,58.968,58.811,58.463,58.083,58.029,58.122,58.13,57.982
Cabo Verde,CPV,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.203,46.316,45.427,44.541,43.66,42.791,41.937,41.101,40.283,39.485,38.696,37.909,37.138,36.4,35.697,35.032,34.405,33.817,33.263,32.739,32.611,32.52,32.411,32.287,32.155,32.016,31.871,31.725,28.153,25.877,23.995,24.714,22.914,22.488,22.032
Cambodia,KHM,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72.796,72.672,72.697,73.019,77.502,76.835,76.411,76.101,75.772,74.81,75.2,75.607,76.042,76.503,76.05,75.611,75.191,74.782,70.702,74.842,78.225,78.369,73.72,68.51,69.678,69.641,69.725,69.049,68.842,68.633,68.49,64.569,64.131,63.714,63.469
Cameroon,CMR,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68.358,68.39,68.383,68.321,68.19,68.007,67.746,67.415,67.1,66.842,66.597,66.324,66.027,65.764,65.562,65.42,65.303,65.181,61.16,56.975,52.676,50.678,48.666,46.644,44.62,42.352,40.181,38.067,35.945,33.785,31.34,29.623,29.452,29.308,28.371
Canada,CAN,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.344,66.098,64.462,62.243,61.862,61.344,60.366,59.21,60.115,61.559,62.879,63.237,65.264,66.479,66.07,65.705,67.221,67.626,67.943,66.362,65.896,65.629,65.476,65.512,65.808,65.613,65.195,65.106,64.519,66.1,61.931,64.234,66.047,65.092,65.185
Cayman Islands,CYM,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.134,53.498,53.742,53.876,53.932,54.022,54.085,54.049,53.966,53.832,53.657,53.579,53.445,53.248,53.159,53.075,53.136,53.289,53.39,53.654,53.983,54.356,54.997,55.68,56.607,57.182,57.135,57.135,57.137,57.091,56.267,56.118,57.076,57.081,57.14
Chad,TCD,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.953,55.888,55.639,56.567,55.678,54.808,53.947,53.087,52.216,51.332,50.446,49.56,48.666,47.769,46.871,45.968,45.058,44.141,43.232,42.336,41.442,40.548,39.659,38.782,37.916,37.054,36.2,35.357,34.525,34.413,34.082,34.415,35.818,35.552,35.352
Channel Islands,CHI,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49.371,49.61,49.053,49.568,50.119,50.308,49.63,49.408,49.844,49.012,48.599,48.698,47.872,47.421,47.661,47.212,47.123,46.819,46.794,46.018,44.825,47.158,46.708,46.743,46.692,46.968,46.469,46.15,46.008,45.582,45.149,45.026,45.411,45.525,45.5
Chile,CHL,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.103,30.362,30.732,30.97,31.149,31.424,31.622,32.548,30.984,29.97,29.111,27.299,26.447,27.539,28.685,29.394,29.026,29.807,31.825,31.825,30.43,32.17,31.376,30.895,31.027,30.003,29.678,30.68,30.885,29.619,22.33,22.902,25.82,26.494,26.391
China,CHN,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79.246,78.12,76.938,75.714,74.445,73.12,71.739,70.291,68.789,67.236,65.624,64.601,63.551,62.489,61.426,60.362,59.304,58.256,57.201,56.132,55.057,53.853,52.894,51.94,51.012,50.123,49.254,48.394,47.574,46.855,43.912,45.197,44.784,44.272,43.829
Colombia,COL,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.795,47.637,47.548,47.507,47.493,47.474,47.386,47.349,47.252,47.027,46.998,46.932,46.512,47.497,45.586,42.457,40.887,39.341,39.043,42.807,42.631,43.106,44.264,43.283,42.723,42.457,42.121,41.462,40.001,39.312,39.092,40.487,37.244,37.83,37.578
Comoros,COM,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.201,16.209,16.336,16.593,16.797,16.906,16.953,16.904,16.762,16.512,16.239,16.075,15.971,15.796,15.418,15.066,14.717,14.367,14.016,13.663,13.315,12.973,12.641,12.349,12.092,13.073,14.008,14.821,15.545,16.28,17.061,18.185,18.108,17.958,18.062
"Congo, Dem. Rep.",COD,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.333,48.461,48.6,48.699,48.286,48.192,49.077,50.003,50.31,50.301,50.372,50.42,50.466,50.534,50.573,50.566,48.901,47.242,45.59,43.949,42.319,40.705,39.113,39.102,39.099,39.108,39.039,38.95,38.989,39.096,44.318,38.647,37.827,37.433,37.339
"Congo, Rep.",COG,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.219,47.011,46.805,46.581,46.42,46.29,46.159,46.264,46.293,46.086,45.4,44.818,44.791,44.661,44.355,44.032,43.724,43.574,43.57,43.397,43.272,43.512,43.827,44.256,44.588,44.87,45.078,45.145,45.118,44.995,44.128,44.046,45.046,45.021,45.008
Costa Rica,CRI,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.48,36.035,33.872,34.978,35.329,35.667,31.584,33.967,38.248,37.164,35.606,37.47,35.847,35.977,32.913,36.734,37.37,38.997,38.175,36.587,33.978,33.988,38.795,40.286,38.693,37.639,33.079,32.927,35.72,38.704,37.554,41.101,37.362,32.839,32.661
Cote d'Ivoire,CIV,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.838,42.577,42.293,42.015,41.735,41.452,41.189,40.948,40.756,41.414,42.078,42.744,43.412,44.085,44.765,45.452,46.148,46.852,47.613,48.429,49.252,50.076,50.898,48.791,46.621,44.411,42.215,41.226,40.254,39.303,37.145,35.817,33.43,32.905,32.482
Croatia,HRV,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.99,40.98,40.479,39.98,39.484,38.989,38.497,38.007,37.519,37.034,36.552,36.072,35.595,33.617,34.658,32.896,31.62,31.473,29.872,29.953,30.746,26.908,25.334,24.817,28.545,27.965,32.306,30.176,28.823,27.276,25.327,27.235,29.716,24.969,24.976
Cuba,CUB,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.045,37.228,34.301,30.992,29.728,28.662,28.212,27.345,26.417,26.362,26.5,26.528,26.52,26.931,27.692,29.096,30.6,31.466,31.81,35.86,34.84,34.829,34.801,34.625,34.162,34.155,33.736,33.6,33.626,33.388,30.745,31.412,33.348,33.347,33.367
Curacao,CUW,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.205,47.367,45.06,44.295,43.533,42.774,42.019,41.267,40.519,39.776,39.037,42.137,38.828,40.18,38.296,39.413,38.555,39.825,40.592,38.869,40.297,36.612,35.614,36.357,39.587,38.98,38.494,40.068,41.881,40.061,36.742,39.676,41.068,42.684,42.752
Czechia,CZE,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.603,42.211,42.292,42.298,43.785,42.144,40.762,40.205,42.056,42.118,40.637,37.966,35.224,33.979,31.519,28.756,29.151,26.867,26.117,26.101,25.261,24.121,25.907,26.062,26.057,27.356,26.207,26.584,26.233,25.852,21.413,21.944,23.251,23.942,23.864
Denmark,DNK,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70.372,70.893,71.024,70.013,65.853,69.444,70.769,70.413,71.584,70.112,68.756,65.019,67.038,63.61,63.914,66.224,69.313,69.138,68.212,67.192,63.93,63.316,60.949,59.005,58.806,58.868,61.221,61.227,60.813,61.783,60.367,59.935,62.885,65.562,65.637
Djibouti,DJI,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.236,18.092,17.947,17.79,17.625,17.448,17.222,16.787,16.284,15.921,15.656,15.41,15.19,15.111,15.111,15.048,14.865,14.609,14.341,14.081,13.835,13.588,13.348,13.098,12.818,12.512,12.185,11.85,11.513,11.191,10.623,10.912,11.195,11.18,11.146
Dominica,DMA,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominican Republic,DOM,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.86,29.624,30.002,30.174,30.065,30.15,30.25,30.528,30.683,30.8,30.836,29.22,31.275,28.601,29.535,28.912,28.127,28.965,29.658,25.51,27.836,29.228,30.881,29.8,29.149,31.73,32.179,32.076,32.73,33.65,27.818,35.431,35.24,38.36,38.758
Ecuador,ECU,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.711,38.715,38.687,38.665,38.704,38.703,38.695,37.644,42.282,40.722,39.177,39.672,40.171,40.674,42.983,40.087,40.968,39.534,39.23,36.895,33.596,30.218,31.38,30.611,28.368,32.46,35.215,35.4,33.999,34.5,30.517,34.724,35.93,34.069,33.837
